sample	carton	date_purchased	date_expiration	average_cycle_threshold	average_copies_per_uL	primer_asset_file	probe_asset_file	processing_plant_state	positive_for_HPAI	SRA_bioproject	SRA_accession	contributors	date_contributed	RNA_extraction_method
dholab_30081_12	dholab_carton_0012	4/24/24	5/2/24	NA		AVRLVS_universalflu_primers.fasta	AVRLVS_universalflu_probe.fasta	WI	FALSE			dholab	5/14/24	"sample spun 16,000xg, 200ul of sample supernantant +200ul lysis buffer added to MagMax wastewater ultra x96 isolation on Kingfisher Apex. 6x replicates pooled, cleaned, and concentrated using Turbo DNAse and Zymo RNA Clean and Concentrator."
dholab_30081_13	dholab_carton_0013	4/24/24	5/7/24	NA		AVRLVS_universalflu_primers.fasta	AVRLVS_universalflu_probe.fasta	WI	FALSE			dholab	5/14/24	"sample spun 16,000xg, 200ul of sample supernantant +200ul lysis buffer added to MagMax wastewater ultra x96 isolation on Kingfisher Apex. 6x replicates pooled, cleaned, and concentrated using Turbo DNAse and Zymo RNA Clean and Concentrator."
dholab_30081_14	dholab_carton_0014	4/24/24		NA		AVRLVS_universalflu_primers.fasta	AVRLVS_universalflu_probe.fasta	IA	FALSE			dholab	5/14/24	"sample spun 16,000xg, 200ul of sample supernantant +200ul lysis buffer added to MagMax wastewater ultra x96 isolation on Kingfisher Apex. 6x replicates pooled, cleaned, and concentrated using Turbo DNAse and Zymo RNA Clean and Concentrator."
dholab_30081_15	dholab_carton_0015	4/26/24		NA		AVRLVS_universalflu_primers.fasta	AVRLVS_universalflu_probe.fasta	WI	FALSE			dholab	5/14/24	"sample spun 16,000xg, 200ul of sample supernantant +200ul lysis buffer added to MagMax wastewater ultra x96 isolation on Kingfisher Apex. 6x replicates pooled, cleaned, and concentrated using Turbo DNAse and Zymo RNA Clean and Concentrator."
dholab_30114_01	dholab_carton_0016	5/2/24	5/17/24	NA		AVRLVS_universalflu_primers.fasta	AVRLVS_universalflu_probe.fasta	VA	FALSE			dholab	5/14/24	"sample spun 16,000xg, 200ul of sample supernantant +200ul lysis buffer added to MagMax wastewater ultra x96 isolation on Kingfisher Apex. 6x replicates pooled, cleaned, and concentrated using Turbo DNAse and Zymo RNA Clean and Concentrator."
dholab_30114_02	dholab_carton_0017	5/2/24	6/6/24	NA		AVRLVS_universalflu_primers.fasta	AVRLVS_universalflu_probe.fasta	NY	FALSE			dholab	5/14/24	"sample spun 16,000xg, 200ul of sample supernantant +200ul lysis buffer added to MagMax wastewater ultra x96 isolation on Kingfisher Apex. 6x replicates pooled, cleaned, and concentrated using Turbo DNAse and Zymo RNA Clean and Concentrator."
dholab_30114_03	dholab_carton_0018	5/2/24	6/4/24	NA		AVRLVS_universalflu_primers.fasta	AVRLVS_universalflu_probe.fasta	OH	FALSE			dholab	5/14/24	"sample spun 16,000xg, 200ul of sample supernantant +200ul lysis buffer added to MagMax wastewater ultra x96 isolation on Kingfisher Apex. 6x replicates pooled, cleaned, and concentrated using Turbo DNAse and Zymo RNA Clean and Concentrator."
dholab_30114_04	dholab_carton_0019	5/2/24	6/17/24	33.52	10	AVRLVS_universalflu_primers.fasta	AVRLVS_universalflu_probe.fasta	KY	TRUE			dholab	5/14/24	"sample spun 16,000xg, 200ul of sample supernantant +200ul lysis buffer added to MagMax wastewater ultra x96 isolation on Kingfisher Apex. 6x replicates pooled, cleaned, and concentrated using Turbo DNAse and Zymo RNA Clean and Concentrator."
dholab_30114_06	dholab_carton_0020	5/2/24	6/27/24	NA		AVRLVS_universalflu_primers.fasta	AVRLVS_universalflu_probe.fasta	CO	FALSE			dholab	5/14/24	"sample spun 16,000xg, 200ul of sample supernantant +200ul lysis buffer added to MagMax wastewater ultra x96 isolation on Kingfisher Apex. 6x replicates pooled, cleaned, and concentrated using Turbo DNAse and Zymo RNA Clean and Concentrator."
dholab_30114_07	dholab_carton_0021	5/2/24	6/4/24	31.17	46	AVRLVS_universalflu_primers.fasta	AVRLVS_universalflu_probe.fasta	TX	TRUE			dholab	5/14/24	"sample spun 16,000xg, 200ul of sample supernantant +200ul lysis buffer added to MagMax wastewater ultra x96 isolation on Kingfisher Apex. 6x replicates pooled, cleaned, and concentrated using Turbo DNAse and Zymo RNA Clean and Concentrator."
dholab_30114_08	dholab_carton_0022	5/2/24	5/16/24	NA		AVRLVS_universalflu_primers.fasta	AVRLVS_universalflu_probe.fasta	UT	FALSE			dholab	5/14/24	"sample spun 16,000xg, 200ul of sample supernantant +200ul lysis buffer added to MagMax wastewater ultra x96 isolation on Kingfisher Apex. 6x replicates pooled, cleaned, and concentrated using Turbo DNAse and Zymo RNA Clean and Concentrator."
dholab_30114_09	dholab_carton_0023	5/2/24	5/30/24	NA		AVRLVS_universalflu_primers.fasta	AVRLVS_universalflu_probe.fasta	IN	FALSE			dholab	5/14/24	"sample spun 16,000xg, 200ul of sample supernantant +200ul lysis buffer added to MagMax wastewater ultra x96 isolation on Kingfisher Apex. 6x replicates pooled, cleaned, and concentrated using Turbo DNAse and Zymo RNA Clean and Concentrator."
dholab_30114_10	dholab_carton_0024	5/2/24	7/11/24	26.29	1145	AVRLVS_universalflu_primers.fasta	AVRLVS_universalflu_probe.fasta	MI	TRUE			dholab	5/14/24	"sample spun 16,000xg, 200ul of sample supernantant +200ul lysis buffer added to MagMax wastewater ultra x96 isolation on Kingfisher Apex. 6x replicates pooled, cleaned, and concentrated using Turbo DNAse and Zymo RNA Clean and Concentrator."
dholab_30114_14	dholab_carton_0005	4/24/24	6/20/24	31.34	40	AVRLVS_universalflu_primers.fasta	AVRLVS_universalflu_probe.fasta	CO	TRUE			dholab	5/14/24	"400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex, 6x replicates pooled, cleaned, and concentrated using Turbo DNAse and Zymo RNA Clean and Concentrator."
dholab_30125_1	dholab_carton_0018	5/2/24	6/4/24	NA		DHO_influenzaAsurveillance_primers.fasta	DHO_influenzaAsurveillance_probe.fasta	OH	FALSE			dholab	5/14/24	"400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex, 6x replicates pooled, cleaned, and concentrated using Turbo DNAse and Zymo RNA Clean and Concentrator."
dholab_30125_2	dholab_carton_0018	5/2/24	6/4/24	NA		DHO_influenzaAsurveillance_primers.fasta	DHO_influenzaAsurveillance_probe.fasta	OH	FALSE			dholab	5/14/24	"sample spun 16,000xg, 200ul of sample supernantant +200ul lysis buffer added to MagMax wastewater ultra x96 isolation on Kingfisher Apex, 6x replicates pooled, cleaned, and concentrated using Turbo DNAse and Zymo RNA Clean and Concentrator."
dholab_30125_3	dholab_carton_0019	5/2/24	6/17/24	28.97	468	DHO_influenzaAsurveillance_primers.fasta	DHO_influenzaAsurveillance_probe.fasta	KY	TRUE			dholab	5/14/24	"400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex, 6x replicates pooled, cleaned, and concentrated using Turbo DNAse and Zymo RNA Clean and Concentrator."
dholab_30125_4	dholab_carton_0019	5/2/24	6/17/24	30.065	116	DHO_influenzaAsurveillance_primers.fasta	DHO_influenzaAsurveillance_probe.fasta	KY	TRUE			dholab	5/14/24	"sample spun 16,000xg, 200ul of sample supernantant +200ul lysis buffer added to MagMax wastewater ultra x96 isolation on Kingfisher Apex, 6x replicates pooled, cleaned, and concentrated using Turbo DNAse and Zymo RNA Clean and Concentrator."
dholab_30125_5	dholab_carton_0021	5/2/24	6/4/24	26.63	3500	DHO_influenzaAsurveillance_primers.fasta	DHO_influenzaAsurveillance_probe.fasta	TX	TRUE			dholab	5/14/24	"400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex, 6x replicates pooled, cleaned, and concentrated using Turbo DNAse and Zymo RNA Clean and Concentrator."
