Processing Plant State	Total Cartons	Negative Cartons	Positive Cartons	Latest Date Sampled
CA	6	1	5	2025-01-21
CO	4	4	0	2025-01-21
IA	2	1	1	2024-12-17
IN	1	1	0	2024-12-17
MI	6	6	0	2025-01-21
MN	1	1	0	2024-11-19
MO	1	1	0	2024-12-17
WI	60	52	8	2025-01-21
