sample	carton	date_purchased	date_expiration	assay	average_cycle_threshold	isolate_average_copies_per_uL	dairyproduct_average_copies_per_mL	primer_asset_file	probe_asset_file	RNA_extraction_method	positive_for_HPAI	processing_plant_state	SRA_bioproject	SRA_accession	contributors	date_contributed
dholab_30114_04	dholab_carton_0019	2024-05-02	2024-06-17	qPCR	33.52	10		AVRLVS_fluMgene_primers.fasta	AVRLVS_fluMgene_probe.fasta	sample spun 16,000xg, 200ul of sample supernantant +200ul lysis buffer added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	KY			dholab	2024-05-14
dholab_30114_06	dholab_carton_0020	2024-05-02	2024-06-27	qPCR	NA			AVRLVS_fluMgene_primers.fasta	AVRLVS_fluMgene_probe.fasta	sample spun 16,000xg, 200ul of sample supernantant +200ul lysis buffer added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	CO			dholab	2024-05-14
dholab_30114_07	dholab_carton_0021	2024-05-02	2024-06-04	qPCR	31.17	46		AVRLVS_fluMgene_primers.fasta	AVRLVS_fluMgene_probe.fasta	sample spun 16,000xg, 200ul of sample supernantant +200ul lysis buffer added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	TX	PRJNA1121320	SRR29324549	dholab	2024-05-14
dholab_30114_08	dholab_carton_0022	2024-05-02	2024-05-16	qPCR	NA			AVRLVS_fluMgene_primers.fasta	AVRLVS_fluMgene_probe.fasta	sample spun 16,000xg, 200ul of sample supernantant +200ul lysis buffer added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	UT			dholab	2024-05-14
dholab_30114_09	dholab_carton_0023	2024-05-02	2024-05-30	qPCR	NA			AVRLVS_fluMgene_primers.fasta	AVRLVS_fluMgene_probe.fasta	sample spun 16,000xg, 200ul of sample supernantant +200ul lysis buffer added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	IN			dholab	2024-05-14
dholab_30114_10	dholab_carton_0024	2024-05-02	2024-07-11	qPCR	26.29	1145		AVRLVS_fluMgene_primers.fasta	AVRLVS_fluMgene_probe.fasta	sample spun 16,000xg, 200ul of sample supernantant +200ul lysis buffer added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	MI	PRJNA1121320	SRR29324548	dholab	2024-05-14
dholab_30114_14	dholab_carton_0005	2024-04-24	2024-06-20	qPCR	31.34	40		AVRLVS_fluMgene_primers.fasta	AVRLVS_fluMgene_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	CO			dholab	2024-05-14
dholab_30125_1	dholab_carton_0018	2024-05-02	2024-06-04	qPCR	NA			DHO_influenzaAsurveillance_primers.fasta	DHO_influenzaAsurveillance_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	OH			dholab	2024-05-14
dholab_30125_2	dholab_carton_0018	2024-05-02	2024-06-04	qPCR	NA			DHO_influenzaAsurveillance_primers.fasta	DHO_influenzaAsurveillance_probe.fasta	sample spun 16,000xg, 200ul of sample supernantant +200ul lysis buffer added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	OH			dholab	2024-05-14
dholab_30125_3	dholab_carton_0019	2024-05-02	2024-06-17	qPCR	28.97	468		DHO_influenzaAsurveillance_primers.fasta	DHO_influenzaAsurveillance_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	KY			dholab	2024-05-14
dholab_30125_4	dholab_carton_0019	2024-05-02	2024-06-17	qPCR	30.065	116		DHO_influenzaAsurveillance_primers.fasta	DHO_influenzaAsurveillance_probe.fasta	sample spun 16,000xg, 200ul of sample supernantant +200ul lysis buffer added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	KY			dholab	2024-05-14
dholab_30125_5	dholab_carton_0021	2024-05-02	2024-06-04	qPCR	26.63	3500		DHO_influenzaAsurveillance_primers.fasta	DHO_influenzaAsurveillance_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	TX			dholab	2024-05-14
dholab_30170_1	dholab_carton_0020	2024-05-02	2024-06-27	qPCR	NA			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	CO			dholab	2024-05-23
dholab_30170_2	dholab_carton_0005	2024-04-24	2024-06-20	qPCR	32.205			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	CO			dholab	2024-05-23
dholab_30170_3	dholab_carton_0024	2024-05-02	2024-07-11	qPCR	27.365			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	MI			dholab	2024-05-23
dholab_30170_4	dholab_carton_0020	2024-05-02	2024-06-27	qPCR	NA			DHO_CN_H5specific03_primers.fasta	DHO_CN_H5specific03_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	CO			dholab	2024-05-23
dholab_30170_5	dholab_carton_0005	2024-04-24	2024-06-20	qPCR	31.85			DHO_CN_H5specific03_primers.fasta	DHO_CN_H5specific03_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	CO			dholab	2024-05-23
dholab_30170_6	dholab_carton_0024	2024-05-02	2024-07-11	qPCR	28.19			DHO_CN_H5specific03_primers.fasta	DHO_CN_H5specific03_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	MI			dholab	2024-05-23
dholab_30170_7	dholab_carton_0020	2024-05-02	2024-06-27	qPCR	NA			redacted	redacted	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	CO			dholab	2024-05-23
dholab_30170_8	dholab_carton_0005	2024-04-24	2024-06-20	qPCR	NA			redacted	redacted	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	CO			dholab	2024-05-23
dholab_30170_9	dholab_carton_0024	2024-05-02	2024-07-11	qPCR	27.615			redacted	redacted	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	MI			dholab	2024-05-23
dholab_30170_10	dholab_carton_0020	2024-05-02	2024-06-27	qPCR	NA			redacted	redacted	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	CO			dholab	2024-05-23
dholab_30170_11	dholab_carton_0005	2024-04-24	2024-06-20	qPCR	NA			redacted	redacted	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	CO			dholab	2024-05-23
dholab_30170_12	dholab_carton_0024	2024-05-02	2024-07-11	qPCR	31.71			redacted	redacted	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	MI			dholab	2024-05-23
dholab_30190_01	dholab_carton_0025	2024-05-20	2024-07-29	qPCR	NA			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	ID			dholab	2024-05-23
dholab_30190_02	dholab_carton_0026	2024-05-20	2024-07-02	qPCR	NA			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	KY			dholab	2024-05-23
dholab_30190_03	dholab_carton_0027	2024-05-20	2024-07-27	qPCR	38.435			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	IN			dholab	2024-05-23
dholab_30190_04	dholab_carton_0028	2024-05-20	2024-07-12	qPCR	68.48			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	KS			dholab	2024-05-23
dholab_30190_05	dholab_carton_0029	2024-05-20	2024-06-21	qPCR	NA			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	FL			dholab	2024-05-23
dholab_30190_06	dholab_carton_0030	2024-05-20	2024-08-12	qPCR	NA			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	MI			dholab	2024-05-23
dholab_30190_07	dholab_carton_0031	2024-05-20	2024-11-18	qPCR	NA			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	MO			dholab	2024-05-23
dholab_30190_08	dholab_carton_0032	2024-05-20	2024-06-05	qPCR	NA			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-05-23
dholab_30190_09	dholab_carton_0033	2024-05-20	2024-09-12	qPCR	38.785			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	CO			dholab	2024-05-23
dholab_30190_10	dholab_carton_0034	2024-05-20	2024-06-24	qPCR	NA			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	NC			dholab	2024-05-23
dholab_30190_11	dholab_carton_0035	2024-05-20	2024-07-04	qPCR	NA			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	CA			dholab	2024-05-23
dholab_30190_12	dholab_carton_0036	2024-05-20	2024-07-08	qPCR	36.79			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	CO			dholab	2024-05-23
dholab_30190_13	dholab_carton_0037	2024-05-20	2024-06-30	qPCR	NA			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	NY			dholab	2024-05-23
dholab_30190_14	dholab_carton_0038	2024-05-20	2024-06-20	qPCR	NA			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	OR			dholab	2024-05-23
dholab_30190_15	dholab_carton_0039	2024-05-20	2024-06-11	qPCR	NA			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	OH			dholab	2024-05-23
dholab_30190_16	dholab_carton_0040	2024-05-10		qPCR	36.865			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	MI			dholab	2024-05-23
dholab_30190_17	dholab_carton_0040	2024-05-10		qPCR	NA			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	MI			dholab	2024-05-23
