sample	carton	date_purchased	date_expiration	assay	average_cycle_threshold	isolate_average_copies_per_uL	dairyproduct_average_copies_per_mL	primer_asset_file	probe_asset_file	RNA_extraction_method	positive_for_HPAI	processing_plant_state	SRA_bioproject	SRA_accession	contributors	date_contributed
dholab_30440_10	dholab_carton_0077	2024-07-02	2024-07-08	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	IA			dholab	2024-08-30
dholab_30440_11	dholab_carton_0078	2024-07-02	2024-08-12	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	KY			dholab	2024-08-30
dholab_30440_12	dholab_carton_0079	2024-07-02	2024-07-05	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	IA			dholab	2024-08-30
dholab_30440_13	dholab_carton_0080	2024-07-02	2024-07-11	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30440_14	dholab_carton_0081	2024-07-02	2024-07-15	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30440_15	dholab_carton_0082	2024-07-02	2024-08-03	qPCR	38.18			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	MI			dholab	2024-08-30
dholab_30440_16	dholab_carton_0083	2024-07-02	2024-07-16	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30440_17	dholab_carton_0084	2024-07-03	2024-09-20	qPCR	27.885			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	MI			dholab	2024-08-30
dholab_30440_18	dholab_carton_0085	2024-07-05	2024-07-16	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30440_19	dholab_carton_0086	2024-07-05	2024-07-06	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30440_20	dholab_carton_0087	2024-07-07	2024-07-08	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30440_21	dholab_carton_0088	2024-07-10		qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30440_22	dholab_carton_0089	2024-07-10	2024-07-23	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30440_23	dholab_carton_0090	2024-07-15	2024-09-06	qPCR	34.76			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	MI			dholab	2024-08-30
dholab_30440_24	dholab_carton_0091	2024-07-15	2024-07-31	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30440_25	dholab_carton_0092	2024-07-15	2024-07-31	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30440_26	dholab_carton_0093	2024-07-15		qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30440_29	dholab_carton_0096	2024-07-15	2024-05-29	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30440_30	dholab_carton_0097	2024-07-15	2024-07-18	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30440_31	dholab_carton_0098	2024-07-15	2024-09-13	qPCR	29.75			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	CO			dholab	2024-08-30
dholab_30440_32	dholab_carton_0099	2024-07-15	2024-07-30	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30471_01	dholab_carton_0100	2024-07-28	2024-08-09	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	OH			dholab	2024-08-30
dholab_30471_02	dholab_carton_0101	2024-07-30	2024-09-13	qPCR	30.175			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	MI			dholab	2024-08-30
dholab_30471_03	dholab_carton_0102	2024-07-30	2024-08-07	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30471_04	dholab_carton_0103	2024-07-30	2024-08-10	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30471_05	dholab_carton_0104	2024-07-30	2024-08-06					DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30471_06	dholab_carton_0105	2024-07-30	2024-08-08					DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30471_07	dholab_carton_0106	2024-07-30	2024-08-08					DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30471_08	dholab_carton_0107	2024-07-30	2024-08-07					DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	IA			dholab	2024-08-30
dholab_30471_09	dholab_carton_0108	2024-07-30	2024-10-11	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30471_10	dholab_carton_0109	2024-07-31	2024-08-16	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30471_11	dholab_carton_0110	2024-07-16	2024-07-27	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30471_12	dholab_carton_0111	2024-07-16		qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30501_02	dholab_carton_0112	2024-08-07	2024-08-19	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30501_03	dholab_carton_0113	2024-08-05	2024-08-24	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30501_04	dholab_carton_0114	2024-08-12	2024-10-14	qPCR	32.155			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	CO			dholab	2024-08-30
dholab_30501_05	dholab_carton_0115	2024-08-12	2024-09-23	qPCR	29.855			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	MI			dholab	2024-08-30
dholab_30501_06	dholab_carton_0116	2024-08-12	2024-08-23	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30501_07	dholab_carton_0117	2024-08-12	2024-08-26	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30501_08	dholab_carton_0118	2024-08-12	2024-08-16	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30501_09	dholab_carton_0119	2024-08-12	2024-08-20	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30501_10	dholab_carton_0120	2024-08-12	2024-10-05	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30501_11	dholab_carton_0121	2024-08-12	2024-10-12	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30501_12	dholab_carton_0122	2024-08-12		qPCR	37.045			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	WI			dholab	2024-08-30
dholab_30501_13	dholab_carton_0123	2024-08-12		qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30501_14	dholab_carton_0124	2024-08-12		qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30526_01	dholab_carton_0068	2024-07-02	2024-08-02	qPCR	28.945			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	MI			dholab	2024-08-30
dholab_30526_02	dholab_carton_0069	2024-07-02	2024-08-06	qPCR	30.06			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	NY			dholab	2024-08-30
dholab_30526_03	dholab_carton_0076	2024-07-02	2024-11-18	qPCR	27.88			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	MO			dholab	2024-08-30
dholab_30526_04	dholab_carton_0082	2024-07-02	2024-08-03	qPCR	34.53			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	MI			dholab	2024-08-30
dholab_30526_05	dholab_carton_0084	2024-07-03	2024-09-20	qPCR	26.225			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	MI			dholab	2024-08-30
dholab_30526_06	dholab_carton_0090	2024-07-15	2024-09-06	qPCR	34.52			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	MI			dholab	2024-08-30
dholab_30526_07	dholab_carton_0098	2024-07-15	2024-09-13	qPCR	30.525			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	CO			dholab	2024-08-30
dholab_30526_08	dholab_carton_0101	2024-07-30	2024-09-13	qPCR	28.73			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	MI			dholab	2024-08-30
dholab_30526_09	dholab_carton_0114	2024-08-12	2024-10-14	qPCR	33.165			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	CO			dholab	2024-08-30
dholab_30526_10	dholab_carton_0115	2024-08-12	2024-09-23	qPCR	30.16			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	MI			dholab	2024-08-30
dholab_30526_11	dholab_carton_0122	2024-08-12		qPCR	37.91			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	WI			dholab	2024-08-30
dholab_30526_12	dholab_carton_0125	2024-08-19	2024-10-05	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30526_13	dholab_carton_0126	2024-08-19	2024-09-13	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30526_14	dholab_carton_0127	2024-08-19	2024-08-31	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30526_15	dholab_carton_0128	2024-08-19		qPCR	38.72			DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	WI			dholab	2024-08-30
dholab_30526_16	dholab_carton_0129	2024-08-19		qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30526_17	dholab_carton_0130	2024-08-19		qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-08-30
dholab_30585_01	dholab_carton_0094	2024-07-15		qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-10-07
dholab_30585_02	dholab_carton_0095	2024-07-15	2024-07-27	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-10-07
dholab_30585_04	dholab_carton_0132	2024-08-28	2024-09-10	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-10-07
dholab_30585_06	dholab_carton_0134	2024-08-28	2024-09-09	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-10-07
dholab_30585_07	dholab_carton_0135	2024-08-28	2024-09-13	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-10-07
dholab_30585_08	dholab_carton_0136	2024-08-28	2024-09-03	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-10-07
dholab_30585_09	dholab_carton_0137	2024-08-28		qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-10-07
dholab_30585_11	dholab_carton_0139	2024-08-28		qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-10-07
dholab_30585_12	dholab_carton_0140	2024-08-28	2024-10-12	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-10-07
dholab_30585_13	dholab_carton_0141	2024-08-28	2024-10-19	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-10-07
dholab_30614_01	dholab_carton_0131	2024-08-28		qPCR	34.665	40.25		DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	CO			dholab	2024-10-07
dholab_30614_02	dholab_carton_0133	2024-08-28		qPCR	33.18	87.55		DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	MI			dholab	2024-10-07
dholab_30614_03	dholab_carton_0138	2024-08-28		qPCR	33.665	69.15		DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	WI			dholab	2024-10-07
dholab_30614_04	dholab_carton_0142	2024-08-28	2024-09-06	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-10-07
dholab_30614_05	dholab_carton_0143	2024-08-28	2024-09-07	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-10-07
dholab_30614_06	dholab_carton_0144	2024-09-10	2024-09-17	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-10-07
dholab_30614_07	dholab_carton_0145	2024-09-10	2024-09-19	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-10-07
dholab_30614_08	dholab_carton_0146	2024-09-10	2024-09-23	qPCR	30.375	592.5		DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	MI			dholab	2024-10-07
dholab_30614_09	dholab_carton_0147	2024-09-10	2025-01-10	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	MO			dholab	2024-10-07
dholab_30614_10	dholab_carton_0148	2024-09-10	2024-09-17	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-10-07
dholab_30614_11	dholab_carton_0149	2024-09-10	2024-09-26	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-10-07
dholab_30614_12	dholab_carton_0150	2024-09-10	2024-09-23	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	MI			dholab	2024-10-07
dholab_30614_13	dholab_carton_0151	2024-09-10	2024-09-14	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-10-07
dholab_30614_14	dholab_carton_0152	2024-09-10	2024-10-15	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-10-07
dholab_30614_15	dholab_carton_0153	2024-09-10		qPCR	37.49	10.8		DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	WI			dholab	2024-10-07
dholab_30614_16	dholab_carton_0154	2024-09-10		qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-10-07
dholab_30614_17	dholab_carton_0155	2024-09-10		qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-10-07
dholab_30614_18	dholab_carton_0156	2024-09-06	2024-09-20	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-10-07
dholab_30614_19	dholab_carton_0157	2024-09-07	2024-09-21	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-10-07
dholab_30642_01	dholab_carton_0158	2024-09-24		qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-10-07
dholab_30642_02	dholab_carton_0159	2024-09-24		qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-10-07
dholab_30642_03	dholab_carton_0160	2024-09-24		qPCR	33.115	106.5		DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	WI			dholab	2024-10-07
dholab_30642_04	dholab_carton_0161	2024-09-24	2024-10-10	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-10-07
dholab_30642_05	dholab_carton_0162	2024-09-24	2024-10-07	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-10-07
dholab_30642_06	dholab_carton_0163	2024-09-24	2024-10-01	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-10-07
dholab_30642_07	dholab_carton_0164	2024-09-24	2024-11-25	qPCR	31.575	307		DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	MI			dholab	2024-10-07
dholab_30642_08	dholab_carton_0165	2024-09-24	2024-10-12	qPCR	36.395	10.55		DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	WI			dholab	2024-10-07
dholab_30642_09	dholab_carton_0166	2024-09-24	2024-10-31	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	WI			dholab	2024-10-07
dholab_30642_11	dholab_carton_0168	2024-09-24	2024-11-03	qPCR	35.795	16.75		DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	TRUE	WI			dholab	2024-10-07
dholab_30642_12	dholab_carton_0169	2024-09-24	2024-11-05	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	NC			dholab	2024-10-07
dholab_30642_13	dholab_carton_0170	2024-09-24	2024-10-31	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	NY			dholab	2024-10-07
dholab_30642_14	dholab_carton_0171	2024-09-24	2024-10-31	qPCR				DHO_CN_H5specific01_primers.fasta	DHO_CN_H5specific01_probe.fasta	400ul sample added to MagMax wastewater ultra x96 isolation on Kingfisher Apex	FALSE	CO			dholab	2024-10-07
